Incident Report Number,Crime Type,Date,Time,Location Type,Address,Longitude,Latitude,Neighborhood
20162260148,AUTO THEFT,8/13/16,110,,2400 BLOCK TOWN LAKE CIR,,,
20165032657,CRIMINAL MISCHIEF,8/8/16,2100,,4000 BLOCK EDGEFIELD CT,,,
20165032445,CRIMINAL MISCHIEF,8/6/16,1100,,5600 BLOCK N IH 35 SVRD SB,,,
20162170297,OUT OF CITY AUTO THEFT,8/4/16,656,,1900 BLOCK NASH HERNANDEZ SR RD,,,
20162181494,OUT OF CITY AUTO THEFT,8/5/16,1915,,5300 BLOCK N IH 35 SVRD NB,,,
20162170064,DISTURBANCE - OTHER,8/4/16,49,,500 BLOCK SWANEE DR,,,
20162290655,MISSING ADULT,8/15/16,2000,,1200 BLOCK VARGAS RD,,,
20162201090,MISSING ADULT,8/4/16,1200,,2100 BLOCK E BEN WHITE BLVD SVRD EB,,,
20162230036,REQUEST TO LOCATE,8/4/16,1230,,700 BLOCK AIRPORT BLVD,,,
20165033036,BURGLARY OF VEHICLE,8/10/16,1900,,1400 BLOCK EVA ST,,,
20162201065,CRIMINAL TRESPASS,8/7/16,1653,,1800 BLOCK S 5TH ST,,,
20162151772,DECEASED PERSON,8/2/16,2224,,4500 BLOCK E OLTORF ST,,,
20162191462,ASSAULT BY CONTACT,8/6/16,2057,,3600 BLOCK PRESIDENTIAL BLVD,,,
20162211220,ASSAULT BY CONTACT,8/8/16,1700,,1300 BLOCK LAMAR SQUARE DR,,,
20162241906,ASSAULT BY CONTACT,8/11/16,2330,,1500 BLOCK BARTON SPRINGS RD,,,
20162280712,THEFT,8/15/16,1246,,2900 BLOCK S CAPITAL OF TEXAS HWY NB,,,
20162251043,THEFT,8/12/16,1437,,1000 BLOCK NORWOOD PARK BLVD,,,
20162251262,INJURY TO ELDERLY PERSON,8/12/16,1651,,2100 BLOCK FRATE BARKER RD,,,
20162161470,OUT OF CITY ROBBERY,8/3/16,1900,,9100 BLOCK FM 812 RD,,,
20162241773,CRIMINAL TRESPASS,8/11/16,2220,,1400 BLOCK S CONGRESS AVE,,,
20162140498,CRIMINAL TRESPASS NOTICE,8/1/16,930,,1300 BLOCK E OLTORF ST,,,
20162270023,POSS OF DRUG PARAPHERNALIA,8/14/16,23,,1900 BLOCK S PLEASANT VALLEY RD,,,
20165032644,ASSAULT BY CONTACT,8/8/16,1645,,4100 BLOCK GUADALUPE ST,,,
20162190688,CRIMINAL TRESPASS NOTICE,8/6/16,1027,,6500 BLOCK DECKER LN,,,
20162271575,CRIMINAL TRESPASS,8/14/16,2216,,800 BLOCK AIRPORT BLVD,,,
20162220806,AGG ASSAULT,8/9/16,1233,,6300 BLOCK EL MIRANDO ST,,,
20162161142,MONEY LAUNDERING,8/3/16,1601,,11600 BLOCK N IH 35 SB,,,
20162191206,BURGLARY OF RESIDENCE,8/6/16,1821,,3400 BLOCK SHINOAK DR,,,
20165033812,THEFT,8/14/16,1200,,400 BLOCK E 6TH ST,,,
20165032311,FRAUD - OTHER,8/1/16,800,,400 BLOCK W 23RD ST,,,
20168003693,CRIMINAL MISCHIEF,8/8/16,1005,,2900 BLOCK WEST AVE,,,
